"標準地域コード","都道府県","政令市･郡･支庁･振興局等","政令市･郡･支庁･振興局等（ふりがな）","市区町村","市区町村（ふりがな）","廃置分合等施行年月日","改正事由"
"01583","北海道","胆振支庁","いぶりしちょう","穂別町","ほべつちょう","2006-03-27","鵡川町(01582)、穂別町(01583)が合併し、むかわ町(01586)を新設"
"01584","北海道","胆振支庁","いぶりしちょう","洞爺湖町","とうやこちょう","2006-03-27","虻田町(01572)、洞爺村(01573)が合併し、洞爺湖町(01584)を新設"
"01585","北海道","胆振支庁","いぶりしちょう","安平町","あびらちょう","2006-03-27","早来町(01579)、追分町(01580)が合併し、安平町(01585)を新設"
"01586","北海道","胆振支庁","いぶりしちょう","むかわ町","むかわちょう","2006-03-27","鵡川町(01582)、穂別町(01583)が合併し、むかわ町(01586)を新設"
"01601","北海道","日高支庁","ひだかしちょう","日高町","ひだかちょう","2006-03-01","日高町(01601)、門別町(01603)が合併し、日高町を新設"
"01603","北海道","日高支庁","ひだかしちょう","門別町","もんべつちょう","2006-03-01","日高町(01601)、門別町(01603)が合併し、日高町を新設"
"01605","北海道","日高支庁","ひだかしちょう","静内町","しずないちょう","2006-03-31","静内町(01605)、三石町(01606)が合併し、新ひだか町(01610)を新設"
"01606","北海道","日高支庁","ひだかしちょう","三石町","みついしちょう","2006-03-31","静内町(01605)、三石町(01606)が合併し、新ひだか町(01610)を新設"
"01610","北海道","日高支庁","ひだかしちょう","新ひだか町","しんひだかちょう","2006-03-31","静内町(01605)、三石町(01606)が合併し、新ひだか町(01610)を新設"
"01640","北海道","十勝支庁","とかちしちょう","忠類村","ちゅうるいむら","2006-02-06","忠類村(01640)が幕別町(01643)に編入"
"01643","北海道","十勝支庁","とかちしちょう","幕別町","まくべつちょう","2006-02-06","忠類村(01640)が幕別町(01643)に編入"
"01666","北海道","釧路支庁","くしろしちょう","阿寒町","あかんちょう","2005-10-11","釧路市(01206)、阿寒町(01666)、音別町(01669)が合併し、釧路市を新設"
"01669","北海道","釧路支庁","くしろしちょう","音別町","おんべつちょう","2005-10-11","釧路市(01206)、阿寒町(01666)、音別町(01669)が合併し、釧路市を新設"
"02201","青森県","","","青森市","あおもりし","2005-04-01","青森市(02201)、浪岡町(02364)が合併し、青森市を新設"
"02201","青森県","","","青森市","あおもりし","2006-10-01","青森市(02201)が中核市に移行"
"02202","青森県","","","弘前市","ひろさきし","2006-02-27","弘前市(02202)、岩木町(02341)、相馬村(02342)が合併し、弘前市を新設"
"02203","青森県","","","八戸市","はちのへし","2001-04-01","八戸市(02203)が特例市に移行"
"02203","青森県","","","八戸市","はちのへし","2005-03-31","南郷村(02448)が八戸市(02203)に編入"
"02203","青森県","","","八戸市","はちのへし","2017-01-01","八戸市(02203)が特例市から中核市に移行"
"02205","青森県","","","五所川原市","ごしょがわらし","2005-03-28","五所川原市(02205)、金木町(02382)、市浦村(02385)が合併し、五所川原市を新設"
"02206","青森県","","","十和田市","とわだし","2005-01-01","十和田市(02206)、十和田湖町(02404)が合併し、十和田市を新設"
"02208","青森県","","","むつ市","むつし","2005-03-14","川内町(02421)、大畑町(02422)、脇野沢村(02427)がむつ市(02208)に編入"
"02209","青森県","","","つがる市","つがるし","2005-02-11","木造町(02322)、森田村(02324)、柏村(02326)、稲垣村(02327)、車力村(02328)が合併し、つがる市(02209)を新設"
"02210","青森県","","","平川市","ひらかわし","2006-01-01","尾上町(02363)、平賀町(02365)、碇ケ関村(02368)が合併し、平川市(02210)を新設"
"02302","青森県","東津軽郡","ひがしつがるぐん","蟹田町","かにたまち","2005-03-28","蟹田町(02302)、平舘村(02305)、三厩村(02306)が合併し、外ヶ浜町(02307)を新設"
"02305","青森県","東津軽郡","ひがしつがるぐん","平舘村","たいらだてむら","2005-03-28","蟹田町(02302)、平舘村(02305)、三厩村(02306)が合併し、外ヶ浜町(02307)を新設"
"02306","青森県","東津軽郡","ひがしつがるぐん","三厩村","みんまやむら","2005-03-28","蟹田町(02302)、平舘村(02305)、三厩村(02306)が合併し、外ヶ浜町(02307)を新設"
"02307","青森県","東津軽郡","ひがしつがるぐん","外ヶ浜町","そとがはままち","2005-03-28","蟹田町(02302)、平舘村(02305)、三厩村(02306)が合併し、外ヶ浜町(02307)を新設"
"02322","青森県","西津軽郡","にしつがるぐん","木造町","きづくりまち","2005-02-11","木造町(02322)、森田村(02324)、柏村(02326)、稲垣村(02327)、車力村(02328)が合併し、つがる市(02209)を新設"
"02323","青森県","西津軽郡","にしつがるぐん","深浦町","ふかうらまち","2005-03-31","深浦町(02323)、岩崎村(02325)が合併し、深浦町を新設"
"02324","青森県","西津軽郡","にしつがるぐん","森田村","もりたむら","2005-02-11","木造町(02322)、森田村(02324)、柏村(02326)、稲垣村(02327)、車力村(02328)が合併し、つがる市(02209)を新設"
"02325","青森県","西津軽郡","にしつがるぐん","岩崎村","いわさきむら","2005-03-31","深浦町(02323)、岩崎村(02325)が合併し、深浦町を新設"
"02326","青森県","西津軽郡","にしつがるぐん","柏村","かしわむら","2005-02-11","木造町(02322)、森田村(02324)、柏村(02326)、稲垣村(02327)、車力村(02328)が合併し、つがる市(02209)を新設"
"02327","青森県","西津軽郡","にしつがるぐん","稲垣村","いながきむら","2005-02-11","木造町(02322)、森田村(02324)、柏村(02326)、稲垣村(02327)、車力村(02328)が合併し、つがる市(02209)を新設"
"02328","青森県","西津軽郡","にしつがるぐん","車力村","しゃりきむら","2005-02-11","木造町(02322)、森田村(02324)、柏村(02326)、稲垣村(02327)、車力村(02328)が合併し、つがる市(02209)を新設"
"02341","青森県","中津軽郡","なかつがるぐん","岩木町","いわきまち","2006-02-27","弘前市(02202)、岩木町(02341)、相馬村(02342)が合併し、弘前市を新設"
"02342","青森県","中津軽郡","なかつがるぐん","相馬村","そうまむら","2006-02-27","弘前市(02202)、岩木町(02341)、相馬村(02342)が合併し、弘前市を新設"
